,Id,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV
90,9130,22,8.7,2.7,1.0,2.9,36.5,0.4,1.5,19.4,0.3,0.5,63.9,0.7,0.7,1.3,0.6,0.5,0.1,0.5
91,8880,79,18.7,7.2,2.7,7.0,39.3,0.2,0.8,7.0,1.5,2.4,69.6,1.1,2.2,3.2,1.4,0.7,0.3,1.3
92,10360,40,5.7,1.4,0.6,1.4,41.0,-0.3,-0.5,0.9,0.1,0.1,71.1,0.3,1.0,1.3,0.1,0.1,0.2,0.2
93,8339,66,23.7,9.8,3.8,7.6,51.1,0.3,1.0,25.6,1.8,2.8,71.4,1.2,2.5,3.5,1.9,0.8,0.4,1.4
94,6118,47,11.8,4.9,1.9,4.4,43.9,0.3,1.3,-7.3,0.8,1.1,76.0,0.6,0.8,1.4,1.1,0.5,0.1,1.0
95,1062,75,29.2,12.2,5.1,10.3,48.9,-0.3,-0.6,7.9,2.5,3.7,63.6,1.7,3.3,4.9,2.9,1.3,0.3,1.3
96,6689,51,10.6,3.5,1.4,3.2,43.4,0.6,1.6,30.4,0.3,0.5,75.8,1.1,2.6,3.6,0.2,0.2,0.1,0.5
97,4185,44,21.4,6.4,2.2,6.7,33.3,-0.2,0.1,-1.6,2.5,3.3,74.4,0.9,1.9,2.8,1.7,1.6,0.3,1.8
98,3107,63,15.0,4.6,2.1,4.8,44.1,-0.0,-0.1,18.2,0.6,0.9,68.7,0.9,1.5,2.2,1.1,0.6,0.2,0.8
99,9140,37,6.8,3.5,1.3,3.2,41.5,0.4,1.2,22.0,0.5,0.6,84.3,0.0,0.3,0.4,2.3,0.2,-1.7,1.2
100,2584,86,21.9,9.4,3.2,7.7,43.0,0.5,1.5,25.3,2.0,2.7,73.7,0.7,2.6,3.3,2.8,1.1,0.4,1.7
101,6871,61,20.0,11.7,4.9,11.9,39.9,-0.3,-0.2,15.9,1.8,2.9,69.7,1.9,2.8,4.2,2.2,1.2,0.4,3.3
102,3661,66,23.6,11.0,4.3,8.6,50.0,0.6,1.7,31.7,2.3,3.0,78.7,0.6,2.8,3.2,3.2,0.9,0.7,2.4
103,2105,68,21.0,7.2,3.3,6.5,49.6,-0.5,-1.3,-5.4,1.0,1.8,50.8,4.2,4.6,8.6,0.3,0.5,1.4,1.0
104,9965,71,7.7,3.2,1.2,2.2,53.5,-0.9,-2.3,22.4,0.8,1.2,66.7,1.3,1.1,2.1,0.1,0.1,0.3,0.5
105,4388,52,17.3,5.0,1.8,4.4,41.5,0.5,1.9,18.0,0.7,0.9,80.2,0.9,2.5,3.3,1.1,0.6,0.1,0.7
106,8747,81,31.9,14.9,5.4,10.2,54.5,0.6,1.7,31.7,3.2,4.8,61.0,2.1,5.1,7.4,0.9,1.1,0.9,2.3
107,9141,85,22.4,10.9,4.0,8.4,49.7,0.6,1.9,7.3,2.5,3.3,76.9,1.1,3.7,5.3,1.2,0.5,0.5,1.1
108,5358,32,7.7,2.1,0.9,1.8,48.9,-0.2,-0.8,-10.5,0.3,0.5,51.7,1.0,1.1,2.1,0.1,0.1,0.5,0.7
109,3272,14,3.8,0.8,0.3,1.0,34.5,-0.1,-0.3,22.5,0.0,0.1,63.2,0.3,0.4,0.6,0.0,0.0,0.1,0.1
110,12328,69,9.8,5.4,1.8,4.3,41.0,0.1,0.2,24.8,1.3,1.7,76.9,0.6,1.4,2.0,0.5,0.5,0.3,0.7
111,3400,69,20.1,5.9,2.3,4.5,49.3,0.2,0.3,11.7,1.2,1.8,59.4,0.6,2.1,2.8,3.1,0.5,0.6,1.5
112,5055,71,16.2,4.5,2.1,4.0,48.4,-0.7,-1.9,4.4,0.7,1.5,59.8,3.1,4.5,7.6,0.2,0.4,1.5,0.6
113,2510,85,27.2,10.0,3.6,9.7,35.1,0.9,2.7,55.3,1.6,1.8,87.3,0.3,2.4,2.5,4.1,1.3,0.1,1.4
114,9060,66,11.6,3.9,1.6,3.3,46.1,0.5,1.7,22.5,0.4,0.8,46.5,0.7,1.3,2.1,0.4,0.3,0.1,0.8
115,10104,61,11.8,3.2,1.3,3.2,42.8,0.1,0.5,5.7,0.6,0.7,71.6,0.5,1.2,1.7,1.5,0.5,0.2,0.8
116,12819,50,17.3,6.7,2.4,5.2,46.4,-0.2,-0.5,11.3,1.5,2.1,70.3,1.2,3.0,4.3,0.8,0.3,0.3,0.7
117,9831,60,11.5,3.1,1.5,3.9,40.7,-0.2,-0.3,7.9,0.2,0.3,73.9,0.8,2.3,3.1,0.4,0.4,0.2,0.3
118,2581,76,9.9,3.1,1.3,2.3,53.8,0.1,0.3,1.5,0.6,0.9,66.6,0.7,1.2,2.0,0.4,0.4,0.1,0.5
119,10876,80,25.8,11.2,4.4,8.8,51.3,0.5,1.2,25.0,2.3,3.0,75.1,1.8,2.8,4.5,2.2,0.9,0.3,1.6
120,6968,49,3.7,1.3,0.5,1.3,40.2,-0.4,-0.8,14.5,0.4,0.7,67.5,0.1,0.3,0.4,0.2,0.1,-0.2,0.2
121,4013,74,20.0,6.5,3.0,6.4,49.4,-0.1,-0.4,2.4,0.8,1.1,69.2,1.4,4.5,6.2,0.7,0.2,0.5,1.0
122,11323,80,25.6,9.9,4.1,9.0,46.0,0.2,0.9,4.2,1.7,2.2,76.9,0.6,2.2,2.9,3.5,0.6,0.5,2.4
123,1238,79,13.1,5.5,2.3,5.8,39.7,-0.0,0.4,18.9,0.8,1.1,75.7,0.3,0.5,0.8,3.3,0.8,-0.7,1.3
124,545,44,8.6,2.1,0.7,1.8,40.8,0.2,0.5,31.4,0.5,0.7,75.6,0.5,0.4,0.8,0.3,0.2,0.1,0.4
125,9219,44,7.1,1.7,0.8,1.9,41.5,-0.1,-0.4,9.5,0.2,0.3,64.1,0.3,0.6,0.9,0.2,0.3,0.1,0.3
126,10085,44,12.6,5.6,2.2,4.8,43.5,0.7,1.8,29.3,1.0,1.4,70.4,0.3,1.6,1.8,2.6,0.7,-0.3,1.2
127,135,59,18.0,8.5,2.9,6.8,42.9,0.7,2.2,15.3,2.2,3.0,71.9,0.9,1.6,2.4,1.0,0.6,0.3,1.4
128,11421,53,12.1,5.2,1.7,3.7,48.0,0.7,2.1,-0.7,1.2,1.6,75.4,0.2,0.7,1.0,1.5,0.6,-0.2,1.8
129,9893,67,13.9,8.0,3.2,8.0,40.5,0.4,1.3,26.3,1.0,1.3,83.1,1.1,1.7,2.8,0.6,0.5,0.6,0.7
130,12581,61,21.4,10.2,3.5,7.5,44.7,0.4,1.2,0.3,3.2,4.6,66.6,1.7,3.4,5.2,3.1,1.6,0.2,1.8
131,7632,56,23.1,8.4,3.1,7.0,44.1,0.2,0.8,29.5,2.0,3.0,67.9,1.1,2.8,3.8,1.0,0.6,0.4,1.7
132,9052,61,11.7,3.3,1.3,2.4,54.4,0.1,0.3,15.6,0.5,0.5,86.6,0.3,1.0,1.3,0.5,0.2,0.1,0.4
133,8699,39,14.6,3.2,1.2,3.2,38.1,0.1,0.7,22.3,0.7,1.3,66.0,0.5,1.4,1.8,1.4,0.6,0.2,0.8
134,12889,51,13.4,4.0,1.8,5.0,34.6,0.7,2.1,37.3,0.2,0.3,77.7,0.8,2.0,2.8,0.2,0.4,0.3,0.4
135,1808,53,10.6,4.2,1.6,3.8,44.0,0.1,0.2,15.3,0.6,1.2,64.6,0.8,1.5,2.2,0.6,0.3,0.1,0.9
136,5599,83,28.4,11.8,4.2,10.4,40.3,0.9,2.7,32.7,2.3,2.5,93.0,0.2,1.5,1.7,4.3,0.6,0.1,1.6
137,1231,69,22.6,7.6,3.1,9.7,29.7,0.6,2.2,50.5,0.8,1.2,70.8,0.3,1.6,1.7,6.2,1.4,-0.2,1.6
138,2250,35,14.3,4.7,1.5,3.2,45.7,-0.0,-0.2,16.4,1.5,2.1,71.4,1.1,3.0,3.6,0.6,0.2,0.2,0.8
139,5567,67,32.5,14.2,5.4,11.7,47.3,0.6,1.9,14.4,2.8,3.9,73.0,1.2,3.1,4.6,2.6,1.1,0.4,2.0
140,7824,70,26.2,12.7,4.8,10.8,43.8,-0.0,0.3,33.1,2.4,2.7,92.1,0.9,1.9,2.9,4.0,0.7,0.1,2.2
141,6311,63,15.9,9.4,4.1,8.7,46.2,0.4,1.3,8.9,1.0,1.5,76.3,0.5,1.4,1.9,1.8,0.6,0.3,1.4
142,10681,53,13.5,5.0,2.0,3.8,51.0,0.1,0.4,11.6,0.8,1.2,73.3,1.7,2.2,3.7,0.1,0.4,0.2,0.5
143,2820,73,18.7,11.8,4.7,8.9,53.9,0.4,1.0,24.3,2.0,3.2,63.9,1.1,2.4,3.5,3.2,1.1,0.3,2.2
144,2286,74,28.8,8.9,3.2,8.1,38.9,0.7,2.1,35.2,1.7,2.1,72.4,1.0,3.5,4.3,2.9,1.7,0.4,1.3
145,4132,55,15.7,3.7,1.3,3.6,37.2,-0.0,0.1,15.8,1.0,1.2,85.8,1.0,1.7,2.6,2.0,0.5,0.2,1.2
146,3106,62,14.7,6.3,3.0,6.3,49.1,0.3,0.8,11.1,0.7,0.9,75.1,0.6,1.2,1.8,1.6,1.1,-0.0,0.6
147,9257,56,15.0,5.7,2.1,5.1,39.6,0.8,2.1,44.0,0.8,0.9,79.5,0.2,0.9,1.0,2.9,0.2,-0.5,1.6
148,3453,46,15.7,7.3,2.8,6.3,45.6,0.8,2.5,57.4,0.5,0.6,79.5,0.5,1.2,1.7,1.6,0.4,0.1,0.9
149,7801,27,7.3,2.7,1.0,2.3,41.8,0.4,1.1,24.9,0.5,0.9,65.4,0.6,1.2,1.8,0.1,0.2,0.0,0.4
150,7749,63,23.4,10.4,3.8,7.8,49.9,0.7,1.6,29.9,1.6,2.3,70.4,0.9,2.9,4.0,1.4,0.7,0.4,1.0
151,12373,73,20.0,5.6,2.1,4.7,44.1,0.8,2.2,34.4,0.8,1.0,73.5,0.4,1.6,2.1,1.5,0.6,0.2,0.8
152,7675,56,9.8,2.5,0.9,2.5,39.2,0.1,0.2,23.8,0.4,0.6,62.0,0.4,1.4,1.9,1.1,0.3,0.4,0.7
153,5697,72,19.3,5.0,2.0,5.0,40.4,0.1,0.5,25.3,0.9,1.6,48.4,0.7,2.0,2.9,1.1,0.5,0.2,0.9
154,7199,53,12.1,6.4,2.7,6.1,43.4,0.4,1.2,34.2,0.8,1.0,76.3,0.3,0.6,0.9,1.6,0.2,-0.1,1.4
155,6037,41,8.7,3.4,1.2,3.1,39.3,0.2,0.9,13.7,1.1,1.4,74.7,0.2,0.4,0.7,0.7,0.3,-0.1,0.5
156,11386,39,6.5,1.7,0.6,1.6,37.7,0.4,0.9,-5.7,0.3,0.5,67.4,0.5,0.7,1.1,0.1,0.1,-0.1,0.2
157,9096,91,35.9,12.8,4.7,12.1,38.3,0.5,1.5,46.1,2.5,2.3,125.4,0.5,1.8,2.5,9.4,1.0,0.2,2.9
158,883,71,14.6,6.1,2.2,5.5,39.2,0.2,0.7,25.3,1.5,2.2,72.9,1.3,1.5,2.5,1.5,0.8,0.1,1.3
159,3587,56,11.8,3.7,1.6,3.5,44.5,0.1,0.5,13.3,0.6,0.9,66.8,0.5,1.4,2.0,0.9,0.5,0.2,0.9
160,12233,56,22.0,9.5,3.8,8.5,44.0,0.6,1.9,54.2,1.3,1.9,66.0,1.0,2.5,3.5,1.2,0.4,0.3,1.3
161,951,84,21.3,8.5,3.2,7.0,46.4,0.2,0.8,42.3,1.8,2.5,79.5,1.0,1.5,2.8,2.3,1.3,0.1,1.6
162,3747,44,15.8,6.3,2.3,4.3,51.5,0.6,1.7,37.5,1.0,1.3,73.8,0.9,1.9,2.8,0.8,0.4,0.3,0.9
163,5864,71,27.9,13.4,5.0,12.0,39.4,0.5,1.8,40.4,2.7,3.6,76.0,0.7,2.6,3.4,6.2,1.7,0.3,3.2
164,6709,54,14.1,4.4,1.9,3.8,48.7,0.2,0.4,3.6,0.7,1.2,60.8,0.5,1.3,1.7,1.1,0.5,0.1,1.1
165,2273,50,12.0,3.1,1.2,2.8,43.6,0.2,0.7,9.3,0.5,0.7,70.0,0.9,2.4,3.4,0.9,0.5,0.1,1.0
166,4864,87,28.1,10.8,4.3,9.6,44.9,0.5,1.6,35.0,1.6,2.3,71.5,1.0,3.0,4.2,2.9,1.2,0.3,2.0
167,3219,11,4.8,1.5,0.5,1.4,37.2,-0.0,-0.2,36.0,0.6,0.7,79.7,0.1,0.4,0.6,0.2,0.0,0.1,0.3
168,12691,85,27.5,9.5,3.8,7.8,51.3,0.3,0.8,-7.9,1.9,2.8,66.8,2.4,5.2,8.1,0.6,0.8,1.1,1.1
169,1662,59,11.7,4.6,1.8,4.0,45.1,0.1,0.2,19.8,0.9,1.4,68.2,0.5,0.9,1.7,0.5,0.3,0.3,0.6
170,6052,51,16.3,7.0,2.6,7.0,38.0,0.5,1.6,11.3,1.2,1.5,73.9,0.5,1.5,2.0,2.3,0.4,0.2,1.7
171,5233,50,13.4,3.4,1.3,3.4,36.2,0.4,1.1,31.2,0.6,0.8,67.6,0.4,0.9,1.3,1.5,0.5,-0.1,0.7
172,2658,86,23.3,7.7,3.0,6.8,44.8,0.6,1.8,35.6,1.1,1.6,68.9,1.3,1.6,3.1,2.1,0.7,0.9,1.4
